Article title,Category title,Article status,Date,portal URLs,site URLs
Deep Linking API Overview,Deep Linking API,published,15 Jun 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/3a32688b-931c-4e0f-892c-445762e1b851/en,https://help.branch.io/v1-api/docs/en/deep-linking-api,
Download / Status Request,Data Subject Request API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/668d2d2a-2da7-4c23-842c-4b833bf46e8e/en,https://help.branch.io/v1-api/docs/en/download-status-request,
Access / Erasure,Data Subject Request API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/eaec73b7-8dd9-4f56-a777-e2dae3981dae/en,https://help.branch.io/v1-api/docs/en/access-erasure,
Request Open,Attribution API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/87fb49b8-129d-4e02-b750-38a7c8bb14a4/en,https://help.branch.io/v1-api/docs/en/requestopen,
Logging Custom Events,Events API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/f017e94f-24a0-4011-8c38-333a3e84932f/en,https://help.branch.io/v1-api/docs/en/logcustomevents,
Logging Standard Events,Events API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/f0ac295c-c1bd-4cc6-9058-ca4dab0c3fa7/en,https://help.branch.io/v1-api/docs/en/logstandardevents,
Post Query,Query API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/1e7f887a-3589-4b5d-a905-5f46d4bc13c3/en,https://help.branch.io/v1-api/docs/en/postquery,
Retrieve Download Status,Cross-Events Export API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/b89921b9-58f1-4714-8a9c-40f4ac460737/en,https://help.branch.io/v1-api/docs/en/retrieveexportdownloadstatus,
Request Data Export,Cross-Events Export API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/2e485d41-48d8-4055-8ad8-4f94781fcf31/en,https://help.branch.io/v1-api/docs/en/requestcrosseventsdataexport,
Get External ID,Scheduled Log Exports API,published,29 May 2026,https://portal.us.document360.io/082e8be0-ad38-4650-9062-689a75e517a2/document/v1-api/view/143b9366-168a-44fa-98e7-b1cecc254a99/en,https://help.branch.io/v1-api/docs/en/getexternalidbranch,
