flattened_destination,inbound_rules,example_sources,target
/marketer-hub/docs/email-integration-guide,51,/docs/email-integration-guide | /docs/universal-email-integration-guide | /emails/smartech,
/branch-ios-14-product-details-general-faq,27,/after-ios-145-what-is-the-expected-branch-functionality-by-link-type | /can-i-still-track-conversions-through-quick-links-with-ios-14 | /can-we-still-use-deferred-deep-linking-in-ads,
/complying-with-apples-policy-faq,19,/are-organic-channels-under-the-scope-of-apples-new-policy | /are-owned-channels-under-the-scope-of-apples-new-policy | /can-we-send-a-user-to-mobile-web-from-an-ad-and-then-pass-through-campaign-data-into-the-app-via-deep-link,
/marketer-hub/docs/attribution-methods,11,/docs/en/branch-methodology-overview | /faq/docs/can-branch-track-impressions-on-desktop | /faq/docs/can-i-track-user-data-location-through-branch,
/marketer-hub/docs/analysis-dashboards-new,7,/docs/analysis-dashboards | /docs/branch-analysis | /marketer-hub/docs/analysis-dashboards,
/account-hub/docs/new-cost-data-via-api-partners,5,/docs/new-cost-data-via-api-partners | /docs/new-cost-data-via-api-partners-1 | /using-branch/docs/new-cost-data-via-api-partners,
/marketer-hub/docs/funnel-attribution,5,/docs/multi-touch-attribution | /marketer-hub/docs/funnel-attribution  [LIVE: in sitemap] | /marketer-hub/docs/multi-touch-attribution,
/marketer-hub/docs/advanced-data-feeds,5,/docs/data-feeds | /marketer-hub/docs/advanced-data-feeds  [LIVE: in sitemap] | /marketer-hub/docs/data-feeds,
/developer-hub/docs/branch-sdks,5,/account-hub/docs/sdk-faqs | /using-branch/docs/adobe-launch-web-plugin | /using-branch/docs/segment-android-sdk,
/marketer-hub/docs/supported-data-integration-partners,5,/data-integration-partners | /docs/supported-data-integration-partners | /marketer-hub/docs/supported-data-integration-partners  [LIVE: in sitemap],
/marketer-hub/docs/self-attributing-networks-sans,4,/developer-hub/marketer-hub/docs/self-attributing-networks-sans-overview | /docs/self-attributing-networks-sans | /marketer-hub/docs/self-attributing-networks-sans  [LIVE: in sitemap],
/account-hub/docs/view-through-conversions-from-apple-ads,4,/docs/view-through-conversions-for-apple-search-ads | /docs/view-through-conversions-from-apple-search-ads | /v1/docs/view-through-conversions-for-apple-search-ads,
/docs/how-billing-works#faq,4,/faq/docs/what-happens-if-i-sign-up-partway-through-the-month | /faq/docs/what-happens-if-my-credit-card-is-not-accepted-error-322 | /faq/docs/what-payment-methods-are-accepted,
/account-hub/docs/commitment-to-accessibility,4,/docs/default-journeys-templates-now-wcag-compliant | /docs/journeys-templates-wcag-compliant | /v1/docs/default-journeys-templates-now-wcag-compliant,
/account-hub/docs/local-currency-support-for-unified-analytics,3,/docs/local-currency-support-for-unified-analytics | /using-branch/docs/local-currency-support-for-unified-analytics | /v1/docs/local-currency-support-for-unified-analytics,
/account-hub/docs/meta-aem-acquisition-attribution-coverage,3,/docs/meta-aem-acquisition-attribution-coverage | /using-branch/docs/meta-aem-acquisition-attribution-coverage | /v1/docs/meta-aem-acquisition-attribution-coverage,
/account-hub/docs/new-enterprise-account-invoices,3,/docs/new-enterprise-account-invoices | /using-branch/docs/new-enterprise-account-invoices | /v1/docs/new-enterprise-account-invoices,
/account-hub/docs/new-google-tag-manager-documentation-available-for-web-ios-and-android-sdks,3,/docs/new-google-tag-manager-documentation-available-for-web-ios-and-android-sdks | /using-branch/docs/new-google-tag-manager-documentation-available-for-web-ios-and-android-sdks | /v1/docs/new-google-tag-manager-documentation-available-for-web-ios-and-android-sdks,
/account-hub/docs/new-linkhub-bulk-actions,3,/docs/new-linkhub-bulk-actions | /using-branch/docs/new-linkhub-bulk-actions | /v1/docs/new-linkhub-bulk-actions,
/account-hub/docs/new-metafacebook-content-provider-install-referrer-support,3,/docs/new-metafacebook-content-provider-install-referrer-support | /using-branch/docs/new-metafacebook-content-provider-install-referrer-support | /v1/docs/new-metafacebook-content-provider-install-referrer-support,
/account-hub/docs/new-navigation-structure,3,/docs/new-navigation-structure | /using-branch/docs/new-navigation-structure | /v1/docs/new-navigation-structure,
/account-hub/docs/new-qr-codes-in-branch,3,/docs/new-qr-codes-in-branch | /using-branch/docs/new-qr-codes-in-branch | /v1/docs/new-qr-codes-in-branch,
/account-hub/docs/new-roi-hub-file-templates-for-importing-cost-data,3,/docs/new-roi-hub-file-templates-for-importing-cost-data | /using-branch/docs/new-roi-hub-file-templates-for-importing-cost-data | /v1/docs/new-roi-hub-file-templates-for-importing-cost-data,
/account-hub/docs/new-tool-for-link-validation,3,/docs/new-tool-for-link-validation | /using-branch/docs/new-tool-for-link-validation | /v1/docs/new-tool-for-link-validation,
/account-hub/docs/introduction-of-custom-partner-limits,3,/docs/introduction-of-custom-partner-limits | /using-branch/docs/introduction-of-custom-partner-limits | /v1/docs/introduction-of-custom-partner-limits,
/account-hub/docs/introducing-skan-magic-set-up,3,/docs/introducing-skan-magic-set-up | /using-branch/docs/introducing-skan-magic-set-up | /v1/docs/introducing-skan-magic-set-up,
