source,flattened_destination,reason
/account-hub/docs/ios-14-faqs,/marketer-hub/docs/branch-ios-14-product-details-general-faq,destination slug not found in new site
/account-hub/docs/sdk-faqs,/developer-hub/docs/branch-sdks,destination slug not found in new site
/ad-partners-list,/supported-ad-partners,destination slug not found in new site
/after-ios-145-what-is-the-expected-branch-functionality-by-link-type,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/apidocs/create-a-deep-link-url,/apidocs/create-a-short-link-url,destination slug not found in new site
/apidocs/create-bulk-deep-link-url,/apidocs/create-bulk-short-link-url,destination slug not found in new site
/apidocs/delete-existing-deep-link,/apidocs/delete-existing-short-link,destination slug not found in new site
/apidocs/read-existing-deep-link,/apidocs/read-existing-short-link,destination slug not found in new site
/apidocs/update-existing-deep-link,/apidocs/update-existing-short-link,destination slug not found in new site
/are-organic-channels-under-the-scope-of-apples-new-policy,/complying-with-apples-policy-faq,destination slug not found in new site
/are-owned-channels-under-the-scope-of-apples-new-policy,/complying-with-apples-policy-faq,destination slug not found in new site
/can-i-still-track-conversions-through-quick-links-with-ios-14,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/can-we-send-a-user-to-mobile-web-from-an-ad-and-then-pass-through-campaign-data-into-the-app-via-deep-link,/complying-with-apples-policy-faq,destination slug not found in new site
/can-we-still-use-deferred-deep-linking-in-ads,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/can-we-use-solutions-like-onetrust-to-get-user-level-opt-in-instead-of-att,/complying-with-apples-policy-faq,destination slug not found in new site
/cant-we-just-use-branch-tracking-links-in-our-ads-and-still-get-device-level-data,/complying-with-apples-policy-faq,destination slug not found in new site
/custom-partner-integration-guides,/marketer-hub/docs/custom-partner-integration-guides,destination slug not found in new site
/data-integration-partners,/marketer-hub/docs/supported-data-integration-partners,destination slug not found in new site
/data-subject-request-branch-api,/apidocs/data-subject-request-api-overview,destination slug not found in new site
/developer-hub/docs/adobe-launch-web-plugin,/developers-hub/docs/adobe-launch-web-plugin,destination slug not found in new site
/developer-hub/docs/branch-university-test,/developer-hub/docs/branch-university-shortcuts,destination slug not found in new site
/developer-hub/docs/data-feeds,/developer-hub/docs/advanced-data-feeds,destination slug not found in new site
/developer-hub/docs/data-integrations,/developer-hub/docs/advanced-data-feeds,destination slug not found in new site
/developer-hub/docs/how-to-guides,/developer-hub/docs/adobe-journey-optimizer,destination slug not found in new site
/developer-hub/docs/plugins-overview,/developer-hub/docs/plugins-sdk-wrappers-index,destination slug not found in new site
/developer-hub/docs/supporting-skan-device-level-in-parallel,/developer-hub/docs/apple,destination slug not found in new site
/developer-hub/marketer-hub/docs/journeys-assist-implementation,/developer-hub/docs/journeys-assist-implementation,destination slug not found in new site
/developer-hub/marketer-hub/docs/self-attributing-networks-sans-overview,/marketer-hub/docs/self-attributing-networks-sans,destination slug not found in new site
/developer-hub/marketer-hub/docs/webhooks-for-developers,/developer-hub/docs/webhooks-for-developers,destination slug not found in new site
